章节序号,题目序号,问题,选项,正确选项序号,解释
3,0,What does the 'Help me choose' link in the New Project wizard assist with?,"[""Choosing the correct package name"",""Configuring build.gradle files"",""Selecting the correct activity template"",""Setting the appropriate minimum SDK level""]",3,The Help me choose link helps users determine which API level to target by providing data on the percentage of devices that will support the app.
3,1,What does the package declaration in the 'MainActivity.kt' file indicate?,"[""The API level used by the project"",""The location of the file within the app's directory structure"",""The namespace of classes and functions in the file"",""The project's dependency management""]",2,The package declaration defines the namespace for the classes and functions in the MainActivity.kt file.
3,2,What happens when you change the BOM version in the 'libs.versions.toml' file?,"[""It changes the app's package name"",""It modifies the user interface layout"",""It sets the project's minimum SDK level"",""It updates the versions of Compose libraries used in the project""]",3,"The BOM version specifies the versions of Jetpack Compose libraries, ensuring compatibility with the specified versions."
3,3,What is displayed in the Preview panel if the project is not yet built?,"[""A 'Hello World' message"",""A detailed error log"",""A prompt to build and refresh"",""An image of the Android emulator""]",2,"If the project hasnt been built yet, the Preview panel shows a prompt to Build & Refresh to display the current user interface."
3,4,What is the purpose of the 'Scaffold' composable in Jetpack Compose?,"[""To configure animations in the app"",""To handle network requests"",""To manage the application's database"",""To provide a basic structure for app screens following Material Design""]",3,"Scaffold is a layout structure that supports Material Design components, making it easier to build consistent UI screens."
3,5,What is the role of the 'enableEdgeToEdge' method in the 'onCreate' function?,"[""To allow the app to be compatible with older Android versions"",""To create a database connection"",""To enable the full-screen mode for the app"",""To manage the application's theme""]",2,"enableEdgeToEdge is used to make the apps UI extend to the edges of the screen, creating a seamless full-screen experience."
3,6,What is the role of the 'setContent' method in the MainActivity.kt file?,"[""To define the theme of the application"",""To initialize the database"",""To manage navigation between screens"",""To set up the Compose-based UI within the activity""]",3,The setContent method is used to define the UI of the activity using composable functions in Jetpack Compose.
3,7,What is the significance of the @Composable annotation in Jetpack Compose?,"[""It designates a function as one that defines UI components"",""It enables network access within functions"",""It indicates functions that should run on a background thread"",""It marks functions that handle database queries""]",0,The @Composable annotation is used to indicate that a function creates UI components in Jetpack Compose.
3,8,What mode allows you to view both the code and UI preview side by side in Android Studio?,"[""Code mode"",""Design mode"",""Preview mode"",""Split mode""]",3,"Split mode displays the code alongside the Preview panel, making it easier to see changes in real time."
3,9,What should you do if the Preview panel displays an 'Out of date' message?,"[""Change the Kotlin version"",""Click the 'Build & Refresh' link"",""Delete the 'MainActivity.kt' file"",""Restart Android Studio""]",1,Clicking Build & Refresh updates the Preview panel to reflect recent changes made in the code.
