章节号,章节标题,简化标题,习题网址,实际网址
3,A Compose Project Overview,Compose Project Quiz,https://www.answertopia.com/kpq5,https://www.answertopia.com/quizzes/compose-project-quiz/
5,Creating an Android Virtual Device (AVD) in Android Studio,AVD Creation Quiz,https://www.answertopia.com/2kv9,https://www.answertopia.com/quizzes/avd-creation-quiz/
6,"Using and Configuring the Android Studio AVD Emulator ",AVD Configuration Quiz,https://www.answertopia.com/lovr,https://www.answertopia.com/quizzes/avd-configuration-quiz/
7,A Tour of the Android Studio User Interface,Android Studio Tour Quiz,https://www.answertopia.com/5e5m,https://www.answertopia.com/quizzes/android-studio-tour-quiz/
8,Testing Android Studio Apps on a Physical Android Device,Android Device Testing Quiz,https://www.answertopia.com/0p1s,https://www.answertopia.com/quizzes/android-device-testing-quiz/
9,The Basics of the Android Studio Code Editor,Android Studio Code Editor Quiz,https://www.answertopia.com/4zkm,https://www.answertopia.com/quizzes/android-studio-code-editor-quiz/
10,An Overview of the Android Architecture,Android Architecture Quiz,https://www.answertopia.com/dgnz,https://www.answertopia.com/quizzes/android-architecture-quiz/
12,"Kotlin Data Types, Variables and Nullability",Kotlin Data Types and Variables Quiz,https://www.answertopia.com/r9sf,https://www.answertopia.com/quizzes/kotlin-data-types-and-variables-quiz/
13,Kotlin Operators and Expressions,Kotlin Operators and Expressions Quiz,https://www.answertopia.com/3xrq,https://www.answertopia.com/quizzes/kotlin-operators-and-expressions-quiz/
14,Kotlin Control Flow,Kotlin Control Flow Quiz,https://www.answertopia.com/f9n6,https://www.answertopia.com/quizzes/kotlin-control-flow-quiz/
15,An Overview of Kotlin Functions and Lambdas,Kotlin Functions and Lambdas Quiz,https://www.answertopia.com/hrgr,https://www.answertopia.com/quizzes/kotlin-functions-and-lambdas-quiz/
16,The Basics of Object-Oriented Programming in Kotlin,Kotlin OOP Quiz,https://www.answertopia.com/f0ke,https://www.answertopia.com/quizzes/kotlin-oop-quiz/
17,An Introduction to Kotlin Inheritance and Subclassing,Kotlin Inheritance Quiz,https://www.answertopia.com/qzqv,https://www.answertopia.com/quizzes/kotlin-inheritance-quiz/
19,An Overview of Compose,Jetpack Compose Overview Quiz,https://www.answertopia.com/fit4,https://www.answertopia.com/quizzes/jetpack-compose-overview-quiz/
20,A Guide to Gradle Version Catalogs,Android Studio Version Catalogs Quiz,https://www.answertopia.com/sjel,https://www.answertopia.com/quizzes/android-studio-version-catalogs-quiz/
21,Composable Functions Overview,Composable Functions Quiz,https://www.answertopia.com/in2s,https://www.answertopia.com/quizzes/composable-functions-quiz/
22,An Overview of Compose State and Recomposition,Compose State Quiz,https://www.answertopia.com/c3sb,https://www.answertopia.com/quizzes/compose-state-quiz/
23,An Introduction to Composition Local,Jetpack CompositionLocal Quiz,https://www.answertopia.com/k0zv,https://www.answertopia.com/quizzes/jetpack-compositionlocal-quiz/
24,An Overview of Compose Slot APIs,Compose Slot API Quiz,https://www.answertopia.com/dmuz,https://www.answertopia.com/quizzes/compose-slot-api-quiz/
26,Using Modifiers in Compose,Compose Modifiers Quiz,https://www.answertopia.com/0q87,https://www.answertopia.com/quizzes/compose-modifiers-quiz/
27,Annotated Strings and Brush Styles,Compose Strings and Brushes Quiz,https://www.answertopia.com/powe,https://www.answertopia.com/quizzes/compose-strings-and-brushes-quiz/
28,Composing Layouts with Row and Column,Compose Rows and Columns Quiz,https://www.answertopia.com/nip2,https://www.answertopia.com/quizzes/compose-rows-and-columns-quiz/
29,Box Layouts in Compose,Compose Box Layout Quiz,https://www.answertopia.com/11hw,https://www.answertopia.com/quizzes/compose-box-layout-quiz/
30,An Introduction to FlowRow and FlowColumn,Compose Flow Layouts Quiz,https://www.answertopia.com/loa2,https://www.answertopia.com/quizzes/compose-flow-layouts-quiz/
32,Custom Layout Modifiers,Compose Custom Layouts Quiz Pt 1,https://www.answertopia.com/qmc5,https://www.answertopia.com/quizzes/combose-custom-layouts-quiz-pt-1/
33,Building Custom Layouts,Compose Custom Layouts Quiz Pt 2,https://www.answertopia.com/rlxx,https://www.answertopia.com/quizzes/compose-custom-layouts-quiz-pt-2/
34,A Guide to ConstraintLayout in Compose,Compose ConstraintLayout Quiz Pt 1,https://www.answertopia.com/l5ja,https://www.answertopia.com/quizzes/compose-constraintlayout-quiz-pt-1/
35,Working with ConstraintLayout in Compose,"Compose ConstraintLayout Quiz Pt 2 ",https://www.answertopia.com/bo5f,https://www.answertopia.com/quizzes/compose-constraintlayout-quiz-pt-2/
36,Working with IntrinsicSize in Compose,Compose IntrinsicSize Quiz,https://www.answertopia.com/7zdx,https://www.answertopia.com/quizzes/compose-intrinsicsize-quiz/
37,Coroutines and LaunchedEffects in Jetpack Compose,Kotlin Coroutines and LaunchedEffects Quiz,https://www.answertopia.com/vro7,https://www.answertopia.com/quizzes/kotlin-coroutines-and-launchedeffects-quiz/
38,An Overview of Lists and Grids in Compose,Compose Row and Column List Quiz,https://www.answertopia.com/iifq,https://www.answertopia.com/quizzes/compose-row-and-column-list-quiz/
40,"A Compose Lazy List Tutorial ",Compose Lazy List Quiz,https://www.answertopia.com/ziwi,https://www.answertopia.com/quizzes/compose-lazy-list-quiz/
41,Designing Adaptable List-Detail Layouts,Compose List-Detail Layouts Quiz,https://www.answertopia.com/of9z,https://www.answertopia.com/quizzes/compose-list-detail-layouts-quiz/
42,"Lazy List Sticky Headers and Scroll Detection ",Compose Sticky Headers Quiz,https://www.answertopia.com/su6b,https://www.answertopia.com/quizzes/compose-sticky-headers-quiz/
43,"A Compose Lazy Staggered Grid Tutorial ",Compose Staggered Grid Quiz,https://www.answertopia.com/puyx,https://www.answertopia.com/quizzes/compose-staggered-grid-quiz/
44,VerticalPager and HorizontalPager in Compose,Compose Pagers Quiz,https://www.answertopia.com/arsi,https://www.answertopia.com/quizzes/compose-pagers-quiz/
45,Compose Visibility Animation,Compose Visibility Animation Quiz,https://www.answertopia.com/22fd,https://www.answertopia.com/quizzes/compose-visibility-animation-quiz/
46,Compose State-Driven Animation,Compose State-Driven Animation Quiz,https://www.answertopia.com/u2s6,https://www.answertopia.com/quizzes/compose-state-driven-animation-quiz/
47,Canvas Graphics Drawing in Compose,Compose Canvas Drawing Quiz,https://www.answertopia.com/syit,https://www.answertopia.com/quizzes/compose-canvas-drawing-quiz/
