章节序号,题目序号,问题,选项,正确选项序号,解释
3,0,“新建项目” 向导中的 “帮助我选择” 链接有什么帮助？,"[""选择正确的软件包名称"",""配置build.gradle文件"",""选择正确的活动模板"",""设置适当的最低SDK级别""]",3,“帮助我选择” 链接通过提供支持该应用的设备百分比的数据，帮助用户确定要定位的API级别。
3,1,'MainActivity.kt' 文件中的包声明表示什么？,"[""项目使用的API级别"",""文件在应用程序目录结构中的位置"",""文件中的类和函数的命名空间"",""项目的依赖管理""]",2,包声明为MainActivity.kt文件中的类和函数定义命名空间。
3,2,在 “libs.versions.Toml” 文件中更改BOM版本时会发生什么情况？,"[""它会更改应用程序的包名称"",""它修改用户界面布局"",""它设置项目的最低SDK级别"",""它会更新项目中使用的撰写库的版本""]",3,BOM版本指定Jetpack合成库的版本，以确保与指定版本的兼容性。
3,3,如果尚未生成项目，预览面板中会显示什么？,"[""“Hello world” 消息"",""详细的错误日志"",""生成和刷新的提示"",""Android模拟器的图像""]",2,如果尚未生成项目，则预览面板将显示生成和刷新提示以显示当前用户界面。
3,4,在Jetpack Compose中可组合的 “脚手架” 的目的是什么？,"[""在应用程序中配置动画"",""处理网络请求"",""管理应用程序的数据库"",""为材质设计后的应用程序屏幕提供基本结构""]",3,Scaffold是一种布局结构，支持材质设计组件，可以更轻松地构建一致的UI屏幕。
3,5,'enableEdgeToEdge' 方法在 'onCreate' 函数中的作用是什么？,"[""允许应用程序与较旧的Android版本兼容"",""创建数据库连接"",""为应用程序启用全屏模式"",""管理应用程序的主题""]",2,enableEdgeToEdge用于使应用程序UI扩展到屏幕的边缘，从而创建无缝的全屏体验。
3,6,MainActivity.kt文件中 “setcontent” 方法的作用是什么？,"[""定义应用程序的主题"",""初始化数据库"",""管理屏幕之间的导航"",""在活动中设置基于撰写的UI""]",3,setContent方法用于使用Jetpack Compose中的可组合函数定义活动的UI。
3,7,Jetpack Compose中 @ Composable注释的意义是什么？,"[""它将一个函数指定为定义UI组件的函数"",""它可以在函数内实现网络访问"",""它指示应在后台线程上运行的函数"",""它标记处理数据库查询的函数""]",0,@ Composable注释用于指示函数在Jetpack Compose中创建UI组件。
3,8,什么模式允许您在Android Studio中并排查看代码和UI预览？,"[""代码模式"",""设计模式"",""预览模式"",""分割模式""]",3,拆分模式在预览面板旁边显示代码，以便更轻松地实时查看更改。
3,9,如果预览面板显示 “out of date” 消息，该怎么办？,"[""更改Kotlin版本"",""单击 “构建和刷新” 链接"",""删除 'MainActivity.kt' 文件"",""重新启动Android Studio""]",1,单击 “生成并刷新” 将更新预览面板，以反映最近在代码中所做的更改。
