章节号,问题,正确选项,错误选项1,错误选项2,错误选项3,解释
3,Which build configuration language is used for the ComposeDemo project?,Kotlin DSL (build.gradle.kts),Java,Groovy (build.gradle),XML,"Kotlin DSL is used as the build configuration language for the project, making the Gradle setup more idiomatic to Kotlin."
3,What does the 'Help me choose' link in the New Project wizard assist with?,Setting the appropriate minimum SDK level,Configuring build.gradle files,Choosing the correct package name,Selecting the correct activity template,The Help me choose link helps users determine which API level to target by providing data on the percentage of devices that will support the app.
3,What is the role of the 'enableEdgeToEdge' method in the 'onCreate' function?,To enable the full-screen mode for the app,To manage the application's theme,To create a database connection,To allow the app to be compatible with older Android versions,"enableEdgeToEdge is used to make the apps UI extend to the edges of the screen, creating a seamless full-screen experience."
3,What happens when you change the BOM version in the 'libs.versions.toml' file?,It updates the versions of Compose libraries used in the project,It changes the app's package name,It modifies the user interface layout,It sets the project's minimum SDK level,"The BOM version specifies the versions of Jetpack Compose libraries, ensuring compatibility with the specified versions."
3,Where can the version of Jetpack Compose being used in a project be found?,In the libs.versions.toml file,In the res folder,In the AndroidManifest.xml file,In the MainActivity.kt file,"The libs.versions.toml file contains the BOM version information, which specifies the version of Jetpack Compose being used."
3,What is the role of the 'setContent' method in the MainActivity.kt file?,To set up the Compose-based UI within the activity,To initialize the database,To define the theme of the application,To manage navigation between screens,The setContent method is used to define the UI of the activity using composable functions in Jetpack Compose.
3,What mode allows you to view both the code and UI preview side by side in Android Studio?,Split mode,Preview mode,Code mode,Design mode,"Split mode displays the code alongside the Preview panel, making it easier to see changes in real time."
3,What is displayed in the Preview panel if the project is not yet built?,A prompt to build and refresh,A detailed error log,A 'Hello World' message,An image of the Android emulator,"If the project hasnt been built yet, the Preview panel shows a prompt to Build & Refresh to display the current user interface."
3,"Which file is used to define the colors, fonts, and shapes of the app's user interface?",Theme.kt,MainActivity.kt,build.gradle.kts,AndroidManifest.xml,The Theme.kt file is responsible for defining the visual elements of the ComposeDemo app’s user interface.
3,What should you do if the Preview panel displays an 'Out of date' message?,Click the 'Build & Refresh' link,Delete the 'MainActivity.kt' file,Restart Android Studio,Change the Kotlin version,Clicking Build & Refresh updates the Preview panel to reflect recent changes made in the code.
3,Why might the Preview panel fail to update after changes in the code?,The changes require a build and refresh,The app is not installed on a device,The Kotlin version is outdated,The app is missing essential permissions,Major changes to the code might require a manual build and refresh to update the preview.
3,What is the purpose of the 'Scaffold' composable in Jetpack Compose?,To provide a basic structure for app screens following Material Design,To handle network requests,To configure animations in the app,To manage the application's database,"Scaffold is a layout structure that supports Material Design components, making it easier to build consistent UI screens."
3,What does the package declaration in the 'MainActivity.kt' file indicate?,The namespace of classes and functions in the file,The project's dependency management,The location of the file within the app's directory structure,The API level used by the project,The package declaration defines the namespace for the classes and functions in the MainActivity.kt file.
3,What is the significance of the @Composable annotation in Jetpack Compose?,It designates a function as one that defines UI components,It marks functions that handle database queries,It indicates functions that should run on a background thread,It enables network access within functions,The @Composable annotation is used to indicate that a function creates UI components in Jetpack Compose.
